name,locale,,localeId,,start,,end,,status,,url,,map
Ninux,Italy,,http://www.geonames.org/3175395,,2002,,present,,active,,http://ninux.org/,,http://map.ninux.org/
Freifunk,Germany,,http://www.geonames.org/2921044,,2002,,present,,active,,http://freifunk.net/,,https://freifunk.net/wie-mache-ich-mit/community-finden/
AWMN,Greece,,http://www.geonames.org/390903,,2002,,present,,active,,http://www.awmn.net/,,https://wind.awmn.net/?page=nodes
Sarantaporo,Greece,,http://www.geonames.org/390903,,2010,,present,,active,,http://www.sarantaporo.gr/,,
Funkfeuer,Austria,,http://www.geonames.org/2782113,,2003,,present,,active,,https://funkfeuer.at,,https://map.funkfeuer.at/wien/
wlan slovenija,Slovenia,,http://www.geonames.org/3190538,,2010,,present,,active,,http://wlan-si.net/en/,,https://wlan-si.net/en/map/
Altermundi,Argentina,,http://www.geonames.org/3865483,,2012,,present,,active,,http://altermundi.net/,,
Personal Telco Project,Portland Oregon,,http://www.geonames.org/5746545,,2000,,present,,active,,https://personaltelco.net/,,
CassCo WiFi,Detroit Michigan,,http://www.geonames.org/4990729,,2012,,present,,active,,https://www.alliedmedia.org/dctp/casscowifi,,
Red Hook Wifi,Brooklyn New York,,http://www.geonames.org/5110302,,2012,,present,,active,,http://redhookwifi.org/,,
NYC Mesh,New York City,,http://www.geonames.org/5128581,,2014,,present,,active,,https://nycmesh.net/,,https://nycmesh.net/map/
People's Open,Oakland California,,http://www.geonames.org/5378538,,2013,,present,,active,,https://www.peoplesopen.net/,,https://peoplesopen.net/monitor
PittMesh,Pittsburgh Pennsylvania,,http://www.geonames.org/5206379,,2013,,present,,active,,http://www.pittmesh.net/,,http://www.pittmesh.net/
Philly Mesh,Philadelphia New Jersey,,http://www.geonames.org/4560349,,2016,,present,,active,,https://phillymesh.net/,,
Wireless Woodstock,Woodstock Vermont,,http://www.geonames.org/5243145,,2010,,present,,active,,http://wirelesswoodstock.org,,
Wasabinet,St. Louis Missouri,,http://www.geonames.org/4407066,,2008,,present,,active,,http://gowasabi.net/,,
La Cañada Wireless Association,Santa Fe New Mexico,,http://www.geonames.org/5490263,,2003,,present,,active,,http://lcwireless.net,,http://lcwireless.net/home/network/coverage/
Melbourne Wireless,Melbourne Australia,,http://www.geonames.org/2158177,,2001,,present,,active,,http://www.melbournewireless.org.au,,http://www.melbournewireless.org.au/maps/
Air-Stream,Adelaide Australia,,http://www.geonames.org/2078025,,2001,,present,,active,,https://www.air-stream.org,,
Toronto Mesh,Toronto Ontario Canada,,http://www.geonames.org/6167865,,2016,,present,,active,,https://tomesh.net/,,
